#cycle        mu      sigmatransactionsmax interactions
   10 1.10002000 0.30516250  9210585      120
   20 1.04985000 0.34177773  9209382      112
   30 1.03326667 0.35460416  9207419      114
   40 1.02497250 0.35822575  9206771      113
   50 1.01998600 0.36346166  9207579      116
   60 1.01665333 0.36707425  9207273      116
   70 1.01421143 0.36989382  9207832      118
   80 1.01243500 0.37056993  9208983      117
   90 1.01103000 0.37011062  9208237      115
  100 1.00993500 0.37178515  9210616      110
  110 1.00904364 0.37154289  9207826      122
  120 1.00828833 0.37087701  9211682      114
  130 1.00765000 0.37116729  9208698      112
  140 1.00711714 0.37209888  9206167      118
  150 1.00663067 0.37275720  9209381      116
  160 1.00623750 0.37391956  9208119      115
  170 1.00586529 0.37377333  9209614      117
  180 1.00553944 0.37352484  9208801      119
  190 1.00524526 0.37312678  9209522      114
  200 1.00495950 0.37346618  9208888      113
  210 1.00472619 0.37301369  9207440      117
  220 1.00450955 0.37314296  9207195      111
  230 1.00430870 0.37362120  9207564      113
  240 1.00414042 0.37328063  9208858      122
  250 1.00398280 0.37332564  9206526      116
  260 1.00382346 0.37282802  9208856      124
  270 1.00367148 0.37285602  9209509      113
  280 1.00352964 0.37282417  9208919      121
  290 1.00341448 0.37269401  9208824      115
  300 1.00329833 0.37294277  9206959      112
  310 1.00319161 0.37272515  9207106      120
  320 1.00308813 0.37299292  9211044      124
  330 1.00298273 0.37296239  9208936      112
  340 1.00289647 0.37280136  9204545      114
  350 1.00281629 0.37286791  9208759      114
  360 1.00274750 0.37323252  9205367      117
  370 1.00267378 0.37322078  9206458      114
  380 1.00260605 0.37333527  9207709      112
  390 1.00253538 0.37343220  9210466      114
  400 1.00246400 0.37350849  9208578      115
  410 1.00240927 0.37350435  9206332      112
  420 1.00234762 0.37332019  9208679      130
  430 1.00229651 0.37341016  9210457      116
  440 1.00225023 0.37369690  9209740      117
  450 1.00221178 0.37352956  9209580      110
  460 1.00216348 0.37334259  9209439      124
  470 1.00211362 0.37324988  9208492      115
  480 1.00206750 0.37334299  9207096      118
  490 1.00202224 0.37332386  9207818      112
  500 1.00197700 0.37325648  9210966      116
  510 1.00194549 0.37345468  9208649      113
  520 1.00191019 0.37352646  9206722      119
  530 1.00187679 0.37359505  9210277      115
  540 1.00183759 0.37340671  9207026      117
  550 1.00180345 0.37342250  9205220      113
  560 1.00177107 0.37355648  9211688      113
  570 1.00173246 0.37355610  9207834      112
  580 1.00170276 0.37344357  9209566      113
  590 1.00167017 0.37344496  9209339      112
  600 1.00164333 0.37326042  9210114      120
  610 1.00162131 0.37302843  9208793      116
  620 1.00159661 0.37311848  9208340      114
  630 1.00157444 0.37314988  9208906      113
  640 1.00154859 0.37345095  9209384      117
  650 1.00152862 0.37332239  9207948      113
  660 1.00150515 0.37337942  9205923      118
  670 1.00148179 0.37341195  9207304      127
  680 1.00145838 0.37366903  9208697      116
  690 1.00143754 0.37356969  9208801      115
  700 1.00142343 0.37350598  9208405      115
  710 1.00140380 0.37347775  9206560      116
  720 1.00138236 0.37364236  9207609      110
  730 1.00136137 0.37382317  9210552      114
  740 1.00134730 0.37383480  9205711      113
  750 1.00133280 0.37355862  9206890      111
  760 1.00131211 0.37355878  9208156      113
  770 1.00129455 0.37340972  9207440      117
  780 1.00127487 0.37335092  9208697      115
  790 1.00126063 0.37344106  9206816      111
  800 1.00124450 0.37330284  9207204      119
  810 1.00122889 0.37323672  9206564      117
  820 1.00121366 0.37332328  9208332      115
  830 1.00119892 0.37360762  9208108      112
  840 1.00118488 0.37339941  9207523      115
  850 1.00117153 0.37325025  9208316      121
  860 1.00115128 0.37320935  9206806      114
  870 1.00114046 0.37332333  9209084      113
  880 1.00112659 0.37335454  9209764      115
  890 1.00111472 0.37337321  9206662      116
  900 1.00110533 0.37331698  9210427      115
  910 1.00109308 0.37334490  9206689      114
  920 1.00108098 0.37347005  9207502      115
  930 1.00106892 0.37365196  9209745      110
  940 1.00105904 0.37369336  9205841      111
  950 1.00104832 0.37346969  9208771      113
  960 1.00103583 0.37341307  9209119      112
  970 1.00102608 0.37353916  9207966      113
  980 1.00101439 0.37346141  9209875      117
  990 1.00100535 0.37348343  9208402      117
 1000 1.00099630 0.37349816  9209391      112
 1010 1.00098604 0.37348591  9207355      115
 1020 1.00097725 0.37349247  9207110      112
 1030 1.00096369 0.37358331  9208076      116
 1040 1.00095231 0.37347823  9206351      117
 1050 1.00094524 0.37353212  9211787      114
 1060 1.00093943 0.37357382  9207015      114
 1070 1.00092991 0.37353224  9208867      115
 1080 1.00091861 0.37345914  9207357      115
 1090 1.00091156 0.37344447  9207791      123
 1100 1.00090555 0.37372811  9209155      112
 1110 1.00089883 0.37360660  9207298      116
 1120 1.00089214 0.37357622  9207062      116
 1130 1.00088646 0.37351083  9209451      113
 1140 1.00087904 0.37331623  9209115      112
 1150 1.00086817 0.37317234  9208541      117
 1160 1.00086216 0.37324067  9208212      116
 1170 1.00085325 0.37326048  9206985      118
 1180 1.00084619 0.37334981  9208026      111
 1190 1.00083975 0.37323984  9208640      114
 1200 1.00083367 0.37312748  9207763      123
 1210 1.00082669 0.37316050  9208740      113
 1220 1.00082049 0.37311416  9207964      116
 1230 1.00081447 0.37332755  9207613      111
 1240 1.00080976 0.37346757  9207951      120
 1250 1.00080304 0.37352669  9208860      113
 1260 1.00079778 0.37350383  9207774      119
 1270 1.00079268 0.37359089  9208167      115
 1280 1.00078867 0.37354764  9207660      120
 1290 1.00078357 0.37352354  9210342      118
 1300 1.00077623 0.37357175  9209043      114
 1310 1.00076847 0.37370621  9206707      117
 1320 1.00076068 0.37372569  9210140      113
 1330 1.00075451 0.37378237  9207236      112
 1340 1.00075067 0.37376231  9205659      116
 1350 1.00074459 0.37389440  9207682      112
 1360 1.00074074 0.37389303  9207991      112
 1370 1.00073416 0.37386590  9210877      114
 1380 1.00072754 0.37385630  9209113      116
 1390 1.00072022 0.37380655  9210431      110
 1400 1.00071636 0.37387960  9209489      112
 1410 1.00071085 0.37381000  9207644      122
 1420 1.00070444 0.37382128  9208915      120
 1430 1.00070007 0.37379293  9211188      126
 1440 1.00069604 0.37390678  9208595      112
 1450 1.00069200 0.37391478  9207408      112
 1460 1.00068644 0.37397663  9207555      112
 1470 1.00068252 0.37391956  9209562      116
 1480 1.00067905 0.37392486  9206579      114
 1490 1.00067101 0.37399026  9208199      114
 1500 1.00066720 0.37400162  9209273      115
 1510 1.00066291 0.37397915  9209959      114
 1520 1.00065882 0.37403424  9208350      111
 1530 1.00065503 0.37394809  9207885      114
 1540 1.00064942 0.37393680  9208202      114
 1550 1.00064426 0.37394476  9209155      112
 1560 1.00064019 0.37403661  9208728      111
 1570 1.00063701 0.37405436  9210932      113
 1580 1.00063272 0.37401943  9208494      119
 1590 1.00062830 0.37416133  9208278      113
 1600 1.00062363 0.37424611  9209375      116
 1610 1.00062174 0.37431750  9207834      112
 1620 1.00061852 0.37421624  9208078      110
 1630 1.00061509 0.37418055  9206868      116
 1640 1.00060982 0.37423148  9207500      117
 1650 1.00060642 0.37430959  9209259      112
 1660 1.00060187 0.37447010  9207148      115
 1670 1.00060042 0.37456918  9207530      111
 1680 1.00059673 0.37457605  9208694      110
 1690 1.00059473 0.37456219  9209486      113
 1700 1.00059088 0.37462637  9207695      123
 1710 1.00058544 0.37464885  9209810      113
 1720 1.00058105 0.37455992  9207809      114
 1730 1.00057827 0.37453405  9211293      120
 1740 1.00057540 0.37461890  9209254      115
 1750 1.00057120 0.37469248  9206325      115
 1760 1.00056710 0.37469024  9208169      113
 1770 1.00056559 0.37470743  9209218      113
 1780 1.00056140 0.37477390  9206091      116
 1790 1.00055698 0.37483413  9209369      112
 1800 1.00055372 0.37482632  9208516      114
 1810 1.00055144 0.37480215  9209770      114
 1820 1.00054714 0.37485546  9207066      114
 1830 1.00054563 0.37479351  9210499      111
 1840 1.00054288 0.37477413  9208812      114
 1850 1.00053805 0.37482712  9209192      114
 1860 1.00053355 0.37483355  9210259      117
 1870 1.00053102 0.37476482  9210280      115
 1880 1.00052745 0.37484215  9207225      115
 1890 1.00052466 0.37488116  9209435      115
 1900 1.00052263 0.37485947  9206734      116
 1910 1.00052094 0.37489781  9209953      116
 1920 1.00051833 0.37492406  9208294      112
 1930 1.00051337 0.37494571  9205869      116
 1940 1.00051160 0.37492890  9207856      117
 1950 1.00050831 0.37499690  9206936      114
 1960 1.00050495 0.37509329  9206803      115
 1970 1.00050254 0.37508269  9207801      114
 1980 1.00049788 0.37510415  9207292      116
 1990 1.00049372 0.37501170  9210854      113
